Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average,order
90101219,Dandenong,2,0,0,0,0.03,Adrenaline
90101274,Casey,24,0,0,0,0.03,Adrenaline
90101274,MMC- Clayton,33,0,0,0.05,0.03,Adrenaline
90102876,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90102895,Casey,1,0,0,0,0.03,Adrenaline
90102895,Dandenong,5,0,0,0,0.03,Adrenaline
90103211,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90103318,Casey,23,0,0,0,0.03,Adrenaline
90104011,Casey,8,0,0,0,0.03,Adrenaline
90104011,Dandenong,5,0,0,0,0.03,Adrenaline
90104797,Casey,5,0,0,0,0.03,Adrenaline
90104880,Dandenong,3,0,0,0,0.03,Adrenaline
90104983,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90105952,Casey,3,0,0,0,0.03,Adrenaline
90107017,Dandenong,3,0,0,0,0.03,Adrenaline
90107514,MMC- Clayton,18,0,0,0.05,0.03,Adrenaline
90107765,Dandenong,7,0,0,0,0.03,Adrenaline
90108333,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90109083,Dandenong,2,0,0,0,0.03,Adrenaline
90109179,Casey,2,0,0,0,0.03,Adrenaline
90109179,Dandenong,1,0,0,0,0.03,Adrenaline
90109179,MMC- Clayton,6,0,0,0.05,0.03,Adrenaline
90109536,Casey,3,0,0,0,0.03,Adrenaline
90110663,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90111201,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90111234,Casey,1,0,0,0,0.03,Adrenaline
90111258,Casey,1,0,0,0,0.03,Adrenaline
90111262,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90111265,Casey,1,0,0,0,0.03,Adrenaline
90111526,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90112083,Casey,3,0,0,0,0.03,Adrenaline
90112361,Dandenong,2,0,0,0,0.03,Adrenaline
90112578,Dandenong,3,0,0,0,0.03,Adrenaline
90113108,Dandenong,3,0,0,0,0.03,Adrenaline
90113108,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90113497,MMC- Clayton,14,0,0,0.05,0.03,Adrenaline
90113883,Casey,11,0,0,0,0.03,Adrenaline
90115768,Casey,3,0,0,0,0.03,Adrenaline
90115768,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90115923,Dandenong,5,0,0,0,0.03,Adrenaline
90116155,Casey,4,0,0,0,0.03,Adrenaline
90116155,Dandenong,1,0,0,0,0.03,Adrenaline
90116410,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90117588,Casey,7,0,0,0,0.03,Adrenaline
90117588,Dandenong,3,0,0,0,0.03,Adrenaline
90117588,MMC- Clayton,7,0,0,0.05,0.03,Adrenaline
90117635,Casey,5,0,0,0,0.03,Adrenaline
90118204,Dandenong,2,0,0,0,0.03,Adrenaline
90118416,MMC- Clayton,11,0,0,0.05,0.03,Adrenaline
90119011,Dandenong,1,0,0,0,0.03,Adrenaline
90119011,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90119071,Casey,3,0,0,0,0.03,Adrenaline
90119285,MMC- Clayton,8,0,0,0.05,0.03,Adrenaline
90119577,MMC- Clayton,43,0,0,0.05,0.03,Adrenaline
90119715,Casey,4,0,0,0,0.03,Adrenaline
90119742,Casey,4,0,0,0,0.03,Adrenaline
90119742,Dandenong,5,0,0,0,0.03,Adrenaline
90119823,MMC- Clayton,12,0,0,0.05,0.03,Adrenaline
90119848,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90119860,Casey,1,0,0,0,0.03,Adrenaline
90119860,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90119901,MMC- Clayton,5,0,0,0.05,0.03,Adrenaline
90119988,Dandenong,1,0,0,0,0.03,Adrenaline
90119988,MMC- Clayton,4,0,0,0.05,0.03,Adrenaline
90121871,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90122677,Casey,2,0,0,0,0.03,Adrenaline
90122677,MMC- Clayton,32,0,0,0.05,0.03,Adrenaline
90123231,Casey,7,0,0,0,0.03,Adrenaline
90123234,Casey,1,0,0,0,0.03,Adrenaline
90123243,Casey,3,0,0,0,0.03,Adrenaline
90123249,MMC- Clayton,8,0,0,0.05,0.03,Adrenaline
90123255,Casey,3,0,0,0,0.03,Adrenaline
90123258,Casey,3,0,0,0,0.03,Adrenaline
90123261,Casey,3,0,0,0,0.03,Adrenaline
90123262,Casey,8,0,0,0,0.03,Adrenaline
90123265,Casey,5,0,0,0,0.03,Adrenaline
90123274,Casey,5,0,0,0,0.03,Adrenaline
90123274,Dandenong,4,0,0,0,0.03,Adrenaline
90123284,Casey,4,0,0,0,0.03,Adrenaline
90123295,Casey,1,0,0,0,0.03,Adrenaline
90123296,Casey,3,0,0,0,0.03,Adrenaline
90123301,Casey,4,0,0,0,0.03,Adrenaline
90123309,MMC- Clayton,3,0,0,0.05,0.03,Adrenaline
90123323,Casey,4,0,0,0,0.03,Adrenaline
90123332,Casey,1,0,0,0,0.03,Adrenaline
90123339,Dandenong,2,0,0,0,0.03,Adrenaline
90123339,MMC- Clayton,16,1,6,0.05,0.03,Adrenaline
90124199,Casey,5,0,0,0,0.03,Adrenaline
90124202,Casey,8,0,0,0,0.03,Adrenaline
90124202,Dandenong,7,0,0,0,0.03,Adrenaline
90124438,Casey,14,0,0,0,0.03,Adrenaline
90124438,Dandenong,1,0,0,0,0.03,Adrenaline
90124438,MMC- Clayton,21,0,0,0.05,0.03,Adrenaline
90124439,Casey,10,0,0,0,0.03,Adrenaline
90124439,Dandenong,4,0,0,0,0.03,Adrenaline
90124440,Casey,26,0,0,0,0.03,Adrenaline
90124441,Casey,7,0,0,0,0.03,Adrenaline
90124443,Casey,3,0,0,0,0.03,Adrenaline
90124445,Casey,6,0,0,0,0.03,Adrenaline
90124446,Casey,6,0,0,0,0.03,Adrenaline
90124446,Dandenong,1,0,0,0,0.03,Adrenaline
90124447,Casey,7,0,0,0,0.03,Adrenaline
90124447,Dandenong,5,0,0,0,0.03,Adrenaline
90124449,Casey,2,0,0,0,0.03,Adrenaline
90124449,Dandenong,10,0,0,0,0.03,Adrenaline
90124459,Dandenong,2,0,0,0,0.03,Adrenaline
90124476,MMC- Clayton,8,0,0,0.05,0.03,Adrenaline
90124487,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90124491,Casey,5,0,0,0,0.03,Adrenaline
90124492,MMC- Clayton,3,0,0,0.05,0.03,Adrenaline
90124499,Dandenong,1,0,0,0,0.03,Adrenaline
90124502,Casey,5,0,0,0,0.03,Adrenaline
90124502,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90124505,MMC- Clayton,8,0,0,0.05,0.03,Adrenaline
90124508,Casey,11,0,0,0,0.03,Adrenaline
90124515,Dandenong,1,0,0,0,0.03,Adrenaline
90124517,Dandenong,4,0,0,0,0.03,Adrenaline
90124517,MMC- Clayton,3,0,0,0.05,0.03,Adrenaline
90124523,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90124524,MMC- Clayton,11,0,0,0.05,0.03,Adrenaline
90124526,MMC- Clayton,19,0,0,0.05,0.03,Adrenaline
90124539,Casey,1,0,0,0,0.03,Adrenaline
90124543,Casey,2,0,0,0,0.03,Adrenaline
90124543,MMC- Clayton,3,0,0,0.05,0.03,Adrenaline
90124546,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90124552,Casey,2,0,0,0,0.03,Adrenaline
90124561,Dandenong,6,0,0,0,0.03,Adrenaline
90124561,MMC- Clayton,9,0,0,0.05,0.03,Adrenaline
90124563,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90124565,Dandenong,2,0,0,0,0.03,Adrenaline
90124570,Casey,2,0,0,0,0.03,Adrenaline
90124570,Dandenong,1,0,0,0,0.03,Adrenaline
90124574,Casey,7,0,0,0,0.03,Adrenaline
90124585,MMC- Clayton,3,0,0,0.05,0.03,Adrenaline
90124609,MMC- Clayton,24,0,0,0.05,0.03,Adrenaline
90124612,Casey,5,0,0,0,0.03,Adrenaline
90124621,MMC- Clayton,24,0,0,0.05,0.03,Adrenaline
90124633,MMC- Clayton,2,0,0,0.05,0.03,Adrenaline
90124637,MMC- Clayton,6,0,0,0.05,0.03,Adrenaline
90124642,Casey,11,0,0,0,0.03,Adrenaline
90124682,MMC- Clayton,5,0,0,0.05,0.03,Adrenaline
90124698,MMC- Clayton,14,0,0,0.05,0.03,Adrenaline
90124936,Casey,5,0,0,0,0.03,Adrenaline
90124939,Casey,1,0,0,0,0.03,Adrenaline
90127293,MMC- Clayton,5,0,0,0.05,0.03,Adrenaline
90127515,MMC- Clayton,4,0,0,0.05,0.03,Adrenaline
90132167,Casey,29,0,0,0,0.03,Adrenaline
90135325,Casey,12,0,0,0,0.03,Adrenaline
90136838,MMC- Clayton,17,0,0,0.05,0.03,Adrenaline
90136845,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90136849,MMC- Clayton,4,0,0,0.05,0.03,Adrenaline
90136850,MMC- Clayton,16,0,0,0.05,0.03,Adrenaline
90137181,Casey,1,0,0,0,0.03,Adrenaline
90137813,Casey,19,0,0,0,0.03,Adrenaline
90137813,MMC- Clayton,1,0,0,0.05,0.03,Adrenaline
90138704,MMC- Clayton,9,0,0,0.05,0.03,Adrenaline
90138705,MMC- Clayton,9,0,0,0.05,0.03,Adrenaline
90139416,Dandenong,1,0,0,0,0.03,Adrenaline
90140200,Casey,3,0,0,0,0.03,Adrenaline
90140978,Dandenong,1,0,0,0,0.03,Adrenaline
90141465,Casey,3,0,0,0,0.03,Adrenaline
90141884,MMC- Clayton,4,0,0,0.05,0.03,Adrenaline
90142519,MMC- Clayton,22,0,0,0.05,0.03,Adrenaline
90142803,Casey,2,0,0,0,0.03,Adrenaline
